    0.0	     26
    1.0	     42
    2.0	     46
    3.0	     49
    4.0	     35
    5.0	     56
    6.0	     47
    7.0	     44
    8.0	     38
    9.0	     42
   10.0	     49
   11.0	     40
   12.0	     52
   13.0	     50
   14.0	     52
   15.0	     40
   16.0	     55
   17.0	     52
   18.0	     47
   19.0	     44
   20.0	     43
   21.0	     53
   22.0	     53
   23.0	     41
   24.0	     65
   25.0	     47
   26.0	     45
   27.0	     52
   28.0	     52
   29.0	     55
   30.0	     49
   31.0	     55
   32.0	     49
   33.0	     42
   34.0	     34
   35.0	     50
   36.0	     46
   37.0	     48
   38.0	     51
   39.0	     66
   40.0	     52
   41.0	     56
   42.0	     57
   43.0	     58
   44.0	     57
   45.0	     46
   46.0	     38
   47.0	     43
   48.0	     51
   49.0	     52
   50.0	     61
   51.0	     56
   52.0	     37
   53.0	     46
   54.0	     42
   55.0	     48
   56.0	     40
   57.0	     45
   58.0	     47
   59.0	     39
   60.0	     51
   61.0	     44
   62.0	     56
   63.0	     49
   64.0	     46
   65.0	     39
   66.0	     46
   67.0	     59
   68.0	     45
   69.0	     51
   70.0	     46
   71.0	     52
   72.0	     52
   73.0	     60
   74.0	     46
   75.0	     48
   76.0	     44
   77.0	     46
   78.0	     36
   79.0	     61
   80.0	     57
   81.0	     44
   82.0	     62
   83.0	     45
   84.0	     62
   85.0	     44
   86.0	     58
   87.0	     44
   88.0	     49
   89.0	     49
   90.0	     61
   91.0	     43
   92.0	     55
   93.0	     54
   94.0	     61
   95.0	     46
   96.0	     47
   97.0	     53
   98.0	     67
   99.0	     54
  100.0	     52
  101.0	     48
  102.0	     51
  103.0	     70
  104.0	     52
  105.0	     51
  106.0	     57
  107.0	     57
  108.0	     60
  109.0	     51
  110.0	     47
  111.0	     52
  112.0	     52
  113.0	     56
  114.0	     60
  115.0	     53
  116.0	     54
  117.0	     61
  118.0	     63
  119.0	     62
  120.0	     54
  121.0	     68
  122.0	     58
  123.0	     52
  124.0	     50
  125.0	     61
  126.0	     63
  127.0	     54
  128.0	     81
  129.0	     57
  130.0	     57
  131.0	     70
  132.0	     67
  133.0	     58
  134.0	     69
  135.0	     60
  136.0	     79
  137.0	     63
  138.0	     58
  139.0	     55
  140.0	     54
  141.0	     54
  142.0	     86
  143.0	     64
  144.0	     66
  145.0	     55
  146.0	     46
  147.0	     60
  148.0	     46
  149.0	     67
  150.0	     74
  151.0	     64
  152.0	     76
  153.0	     62
  154.0	     54
  155.0	     59
  156.0	     65
  157.0	     56
  158.0	     64
  159.0	     46
  160.0	     64
  161.0	     65
  162.0	     56
  163.0	     68
  164.0	     64
  165.0	     62
  166.0	     69
  167.0	     58
  168.0	     68
  169.0	     67
  170.0	     55
  171.0	     63
  172.0	     59
  173.0	     52
  174.0	     70
  175.0	     65
  176.0	     59
  177.0	     67
  178.0	     62
  179.0	     53
  180.0	     66
  181.0	     60
  182.0	     68
  183.0	     70
  184.0	     76
  185.0	     80
  186.0	     63
  187.0	     66
  188.0	     72
  189.0	     66
  190.0	     55
  191.0	     69
  192.0	     55
  193.0	     64
  194.0	     71
  195.0	     83
  196.0	     46
  197.0	     46
  198.0	     78
  199.0	     75
  200.0	     65
  201.0	     64
  202.0	     58
  203.0	     69
  204.0	     67
  205.0	     70
  206.0	     66
  207.0	     65
  208.0	     62
  209.0	     63
  210.0	     63
  211.0	     52
  212.0	     64
  213.0	     69
  214.0	     70
  215.0	     72
  216.0	     74
  217.0	     66
  218.0	     71
  219.0	     74
  220.0	     63
  221.0	     90
  222.0	     81
  223.0	     74
  224.0	     72
  225.0	     66
  226.0	     75
  227.0	     70
  228.0	     49
  229.0	     81
  230.0	     78
  231.0	     73
  232.0	     67
  233.0	     64
  234.0	     69
  235.0	     60
  236.0	     77
  237.0	     73
  238.0	     70
  239.0	     70
  240.0	     72
  241.0	     72
  242.0	     68
  243.0	     57
  244.0	     85
  245.0	     74
  246.0	     57
  247.0	     62
  248.0	     69
  249.0	     80
  250.0	     71
  251.0	     63
  252.0	     67
  253.0	     65
  254.0	     72
  255.0	     66
  256.0	     50
  257.0	     69
  258.0	     68
  259.0	     54
  260.0	     51
  261.0	     59
  262.0	     65
  263.0	     66
  264.0	     67
  265.0	     55
  266.0	     77
  267.0	     61
  268.0	     74
  269.0	     55
  270.0	     58
  271.0	     90
  272.0	     75
  273.0	     96
  274.0	     63
  275.0	     70
  276.0	     84
  277.0	     55
  278.0	     52
  279.0	     65
  280.0	     73
